ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
80925,12342,10,18,17,11,3,12,59,68,-1.3426573,0.058484752,0.073841058,0.035891615,0.31936938,0.007204212,0.16375728,0.027431421
80926,1628,43,55,84,62,1,21,1,84,-0.21938379,0.12592137,0.19821826,0.12261581,0.37247705,0,0.21119134,0
80927,4905,6,1,53,6,8,5,1,20,-1.5119461,0.005300714,0.12996942,0.027894003,0.23063256,0.016081871,0.11695907,0
80928,1268,29,33,12,60,3,4,92,90,-0.6514436,0.082807571,0.064024389,0.11799762,0.3986111,0.007317073,0.10731708,0.092682928
80929,97,1,1,1,1,1,1,1,99,-2.0501735,0,0,0,0.54098362,0,0,0
80930,1928,32,27,19,20,15,91,73,88,-0.54579586,0.073651455,0.078156315,0.050239235,0.39213485,0.023738872,0.61275965,0.040059347
80938,100,1,1,1,1,1,1,1,1,-2.0501735,0,0,0,0,0,0,0
80939,0,,,,,,,,,,0,0,0,0,0,0,0
80951,4456,35,41,77,2,4,42,61,63,-0.44965458,0.098230489,0.17627677,0.017644802,0.30777347,0.009778357,0.29595828,0.028683182
81001,30169,91,92,82,71,83,79,76,85,1.3205807,0.26827592,0.19159512,0.14678805,0.37599918,0.10977759,0.48224926,0.04389425
81003,14797,92,93,79,81,90,87,48,98,1.3858626,0.27646735,0.18316309,0.18236999,0.50570303,0.15203054,0.55362719,0.021173203
81004,26581,91,93,95,67,87,80,64,92,1.3474271,0.27477616,0.2657899,0.13688938,0.41212523,0.12963302,0.49330276,0.03119266
81005,31963,57,73,68,38,38,36,53,73,0.18492182,0.17291285,0.1562237,0.077913858,0.33383322,0.043395478,0.27338359,0.023800079
81006,12081,37,58,25,43,24,14,38,79,-0.40947306,0.13216189,0.086852349,0.085754782,0.35123238,0.031420466,0.1791403,0.016583024
81007,31849,15,29,22,17,13,16,32,50,-1.1257564,0.076971546,0.083228104,0.045717698,0.28252864,0.021760028,0.18640217,0.014244516
81008,11632,55,56,70,41,43,55,37,78,0.14676332,0.12693632,0.1600388,0.081925243,0.34915626,0.047566615,0.34816119,0.016075755
81019,1674,71,92,88,51,1,41,77,99,0.59643793,0.26941457,0.21614583,0.098818474,0.54228854,0,0.29174665,0.04606526
81020,902,65,81,50,73,64,42,1,97,0.42578098,0.1984479,0.12635379,0.15373135,0.478185,0.070454545,0.29772729,0
81021,44,32,100,1,1,1,52,1,1,-0.56400585,0.47727272,0,0,0,0,0.33333334,0
81022,1624,60,84,58,28,60,16,87,82,0.27015939,0.2112069,0.13895217,0.0625,0.36106196,0.065602839,0.18617021,0.070921987
81023,1345,6,10,35,2,8,5,1,94,-1.5060378,0.043122675,0.10242587,0.016650343,0.43342036,0.015936255,0.11354582,0
81024,231,42,96,1,93,1,4,1,99,-0.25765207,0.30303031,0,0.25974026,0.56462586,0,0.10791367,0
81025,741,22,70,2,30,12,10,14,94,-0.86336869,0.16194332,0.024154589,0.065934069,0.43367347,0.020689655,0.15172414,0.006896552
81027,169,27,57,17,1,1,60,58,5,-0.71606052,0.13017751,0.074074075,0,0.18478261,0,0.37333333,0.026666667
81029,314,40,45,6,49,54,52,80,2,-0.30039236,0.10509554,0.049019609,0.095833331,0.16666667,0.05839416,0.33576643,0.05109489
81030,161,64,94,88,65,1,31,1,99,0.40160966,0.2857143,0.2173913,0.13157895,0.53703701,0,0.25373134,0
81033,195,46,95,81,26,1,5,1,74,-0.12462559,0.2923077,0.1875,0.059322033,0.33561644,0,0.11320755,0
81036,1081,25,46,47,15,68,19,1,6,-0.78411371,0.10721063,0.12110727,0.043478262,0.19029851,0.075313807,0.20502092,0
81038,0,,,,,,,,,,0,0,0,0,0,0,0
